province_state,country_region,date,confirmed,deaths,recovered,admin2
Hubei,Mainland China,2020-03-10,67760,3024,47743,
Hubei,Mainland China,2020-03-09,67743,3008,46488,
Hubei,Mainland China,2020-03-08,67707,2986,45235,
Hubei,Mainland China,2020-03-07,67666,2959,43500,
Hubei,Mainland China,2020-03-06,67592,2931,42033,
Hubei,Mainland China,2020-03-05,67466,2902,40592,
Hubei,Mainland China,2020-03-04,67332,2871,38557,
Hubei,Mainland China,2020-03-03,67217,2835,36208,
Hubei,Mainland China,2020-03-02,67103,2803,33934,
Hubei,Mainland China,2020-03-01,66907,2761,31536,
Hubei,Mainland China,2020-02-29,66337,2727,28993,
Hubei,Mainland China,2020-02-28,65914,2682,26403,
Hubei,Mainland China,2020-02-27,65596,2641,23383,
Hubei,Mainland China,2020-02-26,65187,2615,20969,
Hubei,Mainland China,2020-02-25,64786,2563,18971,
Hubei,Mainland China,2020-02-24,64287,2495,16748,
Hubei,Mainland China,2020-02-22,64084,2346,15299,
Hubei,Mainland China,2020-02-23,64084,2346,15343,
Hubei,Mainland China,2020-02-21,62662,2144,11881,
Hubei,Mainland China,2020-02-20,62442,2144,11788,
Hubei,Mainland China,2020-02-19,62031,2029,10337,
Hubei,Mainland China,2020-02-18,61682,1921,9128,
Hubei,Mainland China,2020-02-17,59989,1789,7862,
Hubei,Mainland China,2020-02-16,58182,1696,6639,
Hubei,Mainland China,2020-02-15,56249,1596,5623,
Hubei,Mainland China,2020-02-14,54406,1457,4774,
Hubei,Mainland China,2020-02-13,48206,1310,3459,
Hubei,Mainland China,2020-02-11,33366,1068,2639,
Hubei,Mainland China,2020-02-12,33366,1068,2686,
Hubei,Mainland China,2020-02-10,31728,974,2222,
Hubei,Mainland China,2020-02-09,29631,871,1795,
Hubei,Mainland China,2020-02-08,27100,780,1439,
Hubei,Mainland China,2020-02-07,24953,699,1115,
Hubei,Mainland China,2020-02-06,22112,618,817,
Hubei,Mainland China,2020-02-05,19665,549,633,
Hubei,Mainland China,2020-02-04,16678,479,522,
Hubei,Mainland China,2020-02-03,13522,414,386,
Hubei,Mainland China,2020-02-02,11177,350,295,
Hubei,Mainland China,2020-02-01,7153,249,168,
Hubei,Mainland China,2020-01-31,5806,204,141,
Hubei,Mainland China,2020-01-30,4903,162,90,
Hubei,Mainland China,2020-01-29,3554,125,88,
Hubei,Mainland China,2020-01-28,3554,125,80,
Hubei,Mainland China,2020-01-27,1423,76,45,
Guangdong,Mainland China,2020-03-10,1353,8,1274,
Guangdong,Mainland China,2020-03-08,1352,7,1256,
Guangdong,Mainland China,2020-03-09,1352,8,1260,
Guangdong,Mainland China,2020-03-06,1352,7,1216,
Guangdong,Mainland China,2020-03-07,1352,7,1237,
Guangdong,Mainland China,2020-03-05,1351,7,1181,
Guangdong,Mainland China,2020-03-02,1350,7,1059,
Guangdong,Mainland China,2020-03-03,1350,7,1101,
Guangdong,Mainland China,2020-03-04,1350,7,1133,
Guangdong,Mainland China,2020-02-29,1349,7,983,
Guangdong,Mainland China,2020-03-01,1349,7,1016,
Guangdong,Mainland China,2020-02-28,1348,7,935,
Guangdong,Mainland China,2020-02-26,1347,7,851,
Guangdong,Mainland China,2020-02-27,1347,7,890,
Guangdong,Mainland China,2020-02-25,1347,7,822,
Guangdong,Mainland China,2020-02-24,1345,6,786,
Guangdong,Mainland China,2020-02-23,1342,6,755,
Guangdong,Mainland China,2020-02-22,1339,5,728,
Guangdong,Mainland China,2020-02-21,1333,5,690,
Guangdong,Mainland China,2020-02-20,1332,5,642,
Guangdong,Mainland China,2020-02-19,1331,5,606,
Guangdong,Mainland China,2020-02-18,1328,4,565,
Guangdong,Mainland China,2020-02-17,1322,4,524,
Guangdong,Mainland China,2020-02-16,1316,2,465,
Guangdong,Mainland China,2020-02-15,1294,2,410,
Henan,Mainland China,2020-03-08,1272,22,1247,
Henan,Mainland China,2020-03-10,1272,22,1247,
Henan,Mainland China,2020-03-02,1272,22,1205,
Henan,Mainland China,2020-02-27,1272,20,1068,
Henan,Mainland China,2020-03-03,1272,22,1231,
Henan,Mainland China,2020-02-28,1272,20,1112,
Henan,Mainland China,2020-03-04,1272,22,1234,
Henan,Mainland China,2020-03-09,1272,22,1247,
Henan,Mainland China,2020-03-06,1272,22,1244,
Henan,Mainland China,2020-03-07,1272,22,1244,
Henan,Mainland China,2020-02-29,1272,21,1170,
Henan,Mainland China,2020-03-05,1272,22,1239,
Henan,Mainland China,2020-03-01,1272,22,1198,
Henan,Mainland China,2020-02-24,1271,19,943,
Henan,Mainland China,2020-02-26,1271,19,1033,
Henan,Mainland China,2020-02-25,1271,19,1002,
Henan,Mainland China,2020-02-23,1271,19,868,
Henan,Mainland China,2020-02-22,1270,19,830,
Henan,Mainland China,2020-02-21,1267,19,736,
Henan,Mainland China,2020-02-20,1265,19,637,
Henan,Mainland China,2020-02-19,1262,19,573,
Guangdong,Mainland China,2020-02-14,1261,2,362,
Henan,Mainland China,2020-02-18,1257,19,522,
Henan,Mainland China,2020-02-17,1246,16,509,
Guangdong,Mainland China,2020-02-13,1241,2,314,
Henan,Mainland China,2020-02-16,1231,13,440,
Guangdong,Mainland China,2020-02-12,1219,1,275,
Zhejiang,Mainland China,2020-03-08,1215,1,1161,
Zhejiang,Mainland China,2020-03-10,1215,1,1191,
Zhejiang,Mainland China,2020-03-09,1215,1,1176,
Zhejiang,Mainland China,2020-03-06,1215,1,1147,
Zhejiang,Mainland China,2020-03-07,1215,1,1154,
Zhejiang,Mainland China,2020-03-05,1215,1,1124,
Zhejiang,Mainland China,2020-03-03,1213,1,1093,
Zhejiang,Mainland China,2020-03-04,1213,1,1114,
Henan,Mainland China,2020-02-15,1212,13,391,
Zhejiang,Mainland China,2020-03-02,1206,1,1069,
Zhejiang,Mainland China,2020-02-24,1205,1,782,
Zhejiang,Mainland China,2020-02-26,1205,1,867,
Zhejiang,Mainland China,2020-02-27,1205,1,932,
Zhejiang,Mainland China,2020-02-28,1205,1,975,
Zhejiang,Mainland China,2020-02-25,1205,1,808,
Zhejiang,Mainland China,2020-02-22,1205,1,719,
Zhejiang,Mainland China,2020-02-29,1205,1,1016,
Zhejiang,Mainland China,2020-02-23,1205,1,760,
Zhejiang,Mainland China,2020-03-01,1205,1,1046,
Zhejiang,Mainland China,2020-02-21,1203,1,679,
Henan,Mainland China,2020-02-14,1184,11,357,
Guangdong,Mainland China,2020-02-11,1177,1,212,
Zhejiang,Mainland China,2020-02-20,1175,1,633,
Zhejiang,Mainland China,2020-02-19,1174,0,604,
Zhejiang,Mainland China,2020-02-18,1172,0,535,
Zhejiang,Mainland China,2020-02-17,1171,0,507,
Henan,Mainland China,2020-02-13,1169,10,296,
Zhejiang,Mainland China,2020-02-16,1167,0,456,
Zhejiang,Mainland China,2020-02-15,1162,0,428,
Guangdong,Mainland China,2020-02-10,1159,1,167,
Zhejiang,Mainland China,2020-02-14,1155,0,403,
Zhejiang,Mainland China,2020-02-13,1145,0,360,
Henan,Mainland China,2020-02-12,1135,8,246,
Guangdong,Mainland China,2020-02-09,1131,1,141,
Zhejiang,Mainland China,2020-02-12,1131,0,321,
Zhejiang,Mainland China,2020-02-11,1117,0,270,
Henan,Mainland China,2020-02-11,1105,7,218,
Guangdong,Mainland China,2020-02-08,1095,1,112,
Zhejiang,Mainland China,2020-02-10,1092,0,242,
Zhejiang,Mainland China,2020-02-09,1075,0,201,
Henan,Mainland China,2020-02-10,1073,6,191,
Hubei,Mainland China,2020-01-26,1058,52,42,
Zhejiang,Mainland China,2020-02-08,1048,0,175,
Guangdong,Mainland China,2020-02-07,1034,1,88,
Henan,Mainland China,2020-02-09,1033,6,153,
Hunan,Mainland China,2020-03-08,1018,4,968,
Hunan,Mainland China,2020-03-10,1018,4,990,
Hunan,Mainland China,2020-03-02,1018,4,887,
Hunan,Mainland China,2020-03-03,1018,4,906,
Hunan,Mainland China,2020-03-04,1018,4,916,
Hunan,Mainland China,2020-03-09,1018,4,979,
Hunan,Mainland China,2020-03-06,1018,4,955,
Hunan,Mainland China,2020-03-07,1018,4,960,
Hunan,Mainland China,2020-02-29,1018,4,846,
Hunan,Mainland China,2020-03-05,1018,4,938,
Hunan,Mainland China,2020-03-01,1018,4,866,
Hunan,Mainland China,2020-02-27,1017,4,804,
Hunan,Mainland China,2020-02-28,1017,4,830,
Hunan,Mainland China,2020-02-24,1016,4,731,
Hunan,Mainland China,2020-02-26,1016,4,783,
Hunan,Mainland China,2020-02-25,1016,4,768,
Hunan,Mainland China,2020-02-23,1016,4,714,
Hunan,Mainland China,2020-02-22,1013,4,692,
Hunan,Mainland China,2020-02-21,1011,4,661,
